,word,number,percent_of_count
218,form,262,0.03331362489112675
219,show,262,0.03331362489112675
220,signal,260,0.033059322411041814
221,hold,259,0.03293217117099934
222,scan,257,0.03267786869091441
223,run,257,0.03267786869091441
224,used,256,0.03255071745087194
225,quarter,255,0.03242356621082947
226,borg,255,0.03242356621082947
227,information,254,0.032296414970787
228,best,254,0.032296414970787
229,also,253,0.03216926373074454
230,lot,252,0.03204211249070207
231,shuttle,252,0.03204211249070207
232,answer,250,0.03178781001061713
233,name,250,0.03178781001061713
234,station,250,0.03178781001061713
235,came,250,0.03178781001061713
236,around,249,0.031660658770574654
237,within,249,0.031660658770574654
238,ahead,248,0.03153350753053219
239,idea,248,0.03153350753053219
240,knew,248,0.03153350753053219
241,yeah,247,0.031406356290489726
242,since,245,0.031152053810404784
243,fire,245,0.031152053810404784
244,pattern,244,0.031024902570362316
245,deck,240,0.030516297610192443
246,position,240,0.030516297610192443
247,transport,240,0.030516297610192443
248,site,239,0.030389146370149975
249,begin,238,0.030261995130107508
250,programme,237,0.030134843890065037
251,true,236,0.03000769265002257
252,coming,236,0.03000769265002257
253,change,235,0.029880541409980102
254,hear,234,0.02975339016993763
255,care,234,0.02975339016993763
256,medical,233,0.029626238929895164
257,love,232,0.029499087689852696
258,death,231,0.02937193644981023
259,percent,231,0.02937193644981023
260,board,230,0.029244785209767758
261,bring,229,0.02911763396972529
262,soon,229,0.02911763396972529
263,forward,229,0.02911763396972529
264,reason,229,0.02911763396972529
265,woman,229,0.02911763396972529
266,starship,228,0.028990482729682823
267,already,227,0.028863331489640355
268,alone,227,0.028863331489640355
269,sound,226,0.028736180249597884
270,son,226,0.028736180249597884
271,next,226,0.028736180249597884
272,contact,226,0.028736180249597884
273,record,225,0.028609029009555417
274,anyone,225,0.028609029009555417
275,seem,224,0.02848187776951295
276,seen,223,0.02835472652947048
277,world,222,0.028227575289428007
278,excuse,222,0.028227575289428007
279,chance,221,0.028100424049385543
280,dead,220,0.027973272809343076
281,memory,220,0.027973272809343076
282,almost,219,0.0278461215693006
283,kill,218,0.027718970329258134
284,whatever,217,0.027591819089215666
285,gone,217,0.027591819089215666
286,probe,217,0.027591819089215666
287,getting,217,0.027591819089215666
288,others,216,0.027464667849173202
289,ambassador,216,0.027464667849173202
290,prepare,215,0.027337516609130728
291,stardate,215,0.027337516609130728
292,least,214,0.02721036536908826
293,duty,214,0.02721036536908826
294,together,214,0.02721036536908826
295,zero,213,0.027083214129045793
296,space,211,0.026828911648960854
297,real,211,0.026828911648960854
298,complete,211,0.026828911648960854
299,war,210,0.026701760408918387
300,sickbay,209,0.02657460916887592
301,word,208,0.026447457928833455
302,lost,208,0.026447457928833455
303,looking,208,0.026447457928833455
304,end,206,0.026193155448748513
305,subspace,206,0.026193155448748513
306,heard,205,0.026066004208706046
307,surface,205,0.026066004208706046
308,choice,205,0.026066004208706046
309,however,204,0.025938852968663575
310,deanna,204,0.025938852968663575
311,different,204,0.025938852968663575
312,working,203,0.025811701728621107
313,explain,202,0.02568455048857864
314,fact,202,0.02568455048857864
315,chief,202,0.02568455048857864
316,sign,202,0.02568455048857864
317,range,202,0.02568455048857864
318,afraid,201,0.025557399248536172
319,sense,199,0.025303096768451234
320,orbit,198,0.025175945528408766
321,holodeck,198,0.025175945528408766
322,frequency,197,0.0250487942883663
323,certain,197,0.0250487942883663
324,thirty,197,0.0250487942883663
325,longer,197,0.0250487942883663
326,impulse,195,0.02479449180828136
327,correct,193,0.024540189328196425
328,boy,192,0.024413038088153954
329,damage,192,0.024413038088153954
330,meet,192,0.024413038088153954
331,honour,191,0.024285886848111487
332,access,191,0.024285886848111487
333,welcome,189,0.02403158436802655
334,saw,188,0.02390443312798408
335,thousand,187,0.023777281887941613
336,main,186,0.023650130647899142
337,important,186,0.023650130647899142
338,page,185,0.023522979407856675
339,situation,185,0.023522979407856675
340,message,184,0.023395828167814207
341,actually,184,0.023395828167814207
342,ferengi,183,0.02326867692777174
343,screen,183,0.02326867692777174
344,family,182,0.02314152568772927
345,close,182,0.02314152568772927
346,test,182,0.02314152568772927
347,backto,182,0.02314152568772927
348,core,182,0.02314152568772927
349,risk,181,0.0230143744476868
350,phasers,180,0.02288722320764433
351,holder,180,0.02288722320764433
352,copyright,179,0.022760071967601866
353,entertainment,179,0.022760071967601866
354,romulans,179,0.022760071967601866
355,web,178,0.022632920727559395
356,clear,178,0.022632920727559395
357,lock,177,0.022505769487516928
358,allow,177,0.022505769487516928
359,alive,175,0.02225146700743199
360,episode,175,0.02225146700743199
361,trademark,175,0.02225146700743199
362,inc,175,0.02225146700743199
363,rest,175,0.02225146700743199
364,force,174,0.022124315767389522
365,studio,174,0.022124315767389522
366,respective,174,0.022124315767389522
367,listingstar,173,0.02199716452734705
368,relatedmarks,173,0.02199716452734705
369,foreducational,173,0.02199716452734705
370,copyrightsproperty,173,0.02199716452734705
371,tried,173,0.02199716452734705
372,experience,173,0.02199716452734705
373,live,172,0.021870013287304584
374,guess,172,0.021870013287304584
375,start,172,0.021870013287304584
376,hard,172,0.021870013287304584
377,talking,172,0.021870013287304584
378,learn,171,0.021742862047262116
379,attempt,171,0.021742862047262116
380,speed,171,0.021742862047262116
381,speak,171,0.021742862047262116
382,continue,170,0.02161571080721965
383,beverly,170,0.02161571080721965
384,move,169,0.021488559567177178
385,area,168,0.02136140832713471
386,known,168,0.02136140832713471
387,listen,166,0.021107105847049775
388,attack,166,0.021107105847049775
389,forty,166,0.021107105847049775
390,send,165,0.020979954607007304
391,sector,165,0.020979954607007304
392,saying,164,0.020852803366964837
393,proceed,164,0.020852803366964837
394,difficult,163,0.02072565212692237
395,everyone,163,0.02072565212692237
396,body,163,0.02072565212692237
397,normal,163,0.02072565212692237
398,read,162,0.0205985008868799
399,appears,162,0.0205985008868799
400,killed,161,0.02047134964683743
401,happen,161,0.02047134964683743
402,le,161,0.02047134964683743
403,effect,161,0.02047134964683743
404,took,161,0.02047134964683743
405,shall,160,0.02034419840679496
406,case,159,0.020217047166752496
407,analysis,159,0.020217047166752496
408,eye,159,0.020217047166752496
409,went,159,0.020217047166752496
410,alert,158,0.020089895926710025
411,evidence,155,0.01970844220658262
412,become,155,0.01970844220658262
413,century,154,0.01958129096654015
414,immediately,154,0.01958129096654015
415,plan,154,0.01958129096654015
416,earth,152,0.019326988486455213
417,personal,152,0.019326988486455213
418,join,152,0.019326988486455213
419,unusual,152,0.019326988486455213
420,along,152,0.019326988486455213
421,mark,151,0.019199837246412745
422,ah,151,0.019199837246412745
423,high,151,0.019199837246412745
424,probably,151,0.019199837246412745
425,taken,151,0.019199837246412745
426,died,150,0.019072686006370278
427,several,150,0.019072686006370278
428,destroyed,150,0.019072686006370278
429,source,149,0.01894553476632781
430,transfer,149,0.01894553476632781
